Artist,Track,Lyrics,Genre
Adestria,1984,"These manmade morals like perfectly paved sidewalks
Force direction and safety as they watch us like hawks
They teach us to walk with blinders
Like the horses they wish we were
To carry their causes on our backs
Without questioning what theyre for


We simply nod and agree we are bred to be lazy
They set the world on fire and we are the gasoline
Were told to accept these given proofs
Were fed a diet of lies and unproven truths


I know that weve been herded together
To be different leaves us alone
Theyve put our minds to sleep our dreams are not our own
Like a thief they came in the night
To remove our will to fight


We simply nod and agree we are bred to be lazy
They set the world on fire and we are the gasoline
Were told to accept these given proofs
Were fed a diet of lies and unproven truths

They sit above cast judgment down
Offer no help to those that will surely drown
They cast me out cause I dont feel the same
Im not content to leave the world aflame
And if to stand for something thats not a trend
Leads me to my end
Then Ill smile as I leave
Because I fought for something I believe1",metal
Freddie Gibbs,1985,"My brother said Dont say that I said Fuck that Im gon get a whoopinanywayIt dont makeno goddamn difference
Fuck that
Im not gointo find shit
When your mom say Take the garbage outwhatthefuck
Yeah Yeah dontlose the beatmotherfucker take the garbage out
Yeahyeah I just upped the flows to the God level nigga what
Yeah yeahyeah
Finna up the flows to the God level nigga what
Yeah checkcheck
Yeah uh mic checkcheck
Yeah nigga checkcheck
Yeah bitch checkcheck
Yeah yeah


Quarter thang to a whole thang whole gang workin Yeah
Hit a bitch with that extended clip or that revolver
Shitll serve the same purpose Bang bang
Geekers beamin up to Scotty in my crack lobby
I can smell the caine burnin
Michael Jordan 1985 bitch I travel with a cocaine circus
Put them FNHs on your clown ass
Catch a nigga up and leave him down bad
I go get a pack and take a nigga town
And fuck his bitches with my outoftown ass
Bomb on niggas like Nagasaki
Rocket next to my pocket hot like hibachi
Drop the check on the bitch
Man these niggas be lookin like baby mamas in these Maseratis
Bitch I fuck up your face with a razor
How I make sure your motherfuckin family cant view your body
Nigga thuggin and shit put my blood in this shit
Prick my finger Alfredo Illuminati Illuminati
Joe Pesci pushing product
You niggas is sweeter than Joe Exotic
On the run like Assata so fuck the police
As a nigga be chillin in La Habana Up in La Habana
Police caught him with a whole thang
Now they snitchin man whole gang workin
Gangland made a lane in it if my name in it its a gang murder
All my reps in the crack files bitch I got em up out the vault
Im the reason your mama be smokin that Brillo
And rippin them car antennas off yeah Them car antennas off
Geekers beamin up to Scotty in my crack lobby
I can smell the caine burnin
Gangland if you put a hit on Freddie Kane itll be a gang murder
1985 Michael Jordan bitch I travel with a cocaine circus
Flow God level like when HOV speak
I make a song weep I got the game hurt

Bitch yeahyeah
Flow God level like when HOV speak
I make a song weep I got the game hurt
Yeah yeahyeah
Yeah checkcheck
Checkcheck mic checkcheck
Checkcheck yeah niggas need a checkcheck yeah
We got everybody in the house tonight
Ill wait for my DJ to get ready Nah13",hiphop
Anne-Marie,2002,"I will always remember
The day you kissed my lips
Light as a feather
And it went just like this
No its never been better than the summer
Of 2002 Ooh


We were only eleven
But acting like grownups
Like we are in the present
Drinking from plastic cups
Singing Love is forever and ever
Well I guess that was true Ooh


Dancin on the hood in the middle of the woods
On an old Mustang where we sang
Songs with all our childhood friends
And it went like this say


Oops I got 99 problems singin bye bye bye
Hold up if you wanna go and take a ride with me
Better hit me baby one more time uh
Paint a picture for you and me
On the days when we were young uh
Singin at the top of both our lungs
See AnneMarie LiveGet tickets as low as 56
Now were under the covers
Fast forward to eighteen
We are more than lovers
Yeah we are all we need
When were holdin each other
Im taken back to 2002 Ooh
Yeah


Dancin on the hood in the middle of the woods
On an old Mustang where we sang
Songs with all our childhood friends
And it went like this say


Oops I got 99 problems singin bye bye bye
Hold up if you wanna go and take a ride with me
Better hit me baby one more time uh
Paint a picture for you and me
On the days when we were young uh
Singin at the top of both our lungs
On the day we fell in love


Ooh ooh
On the day we fell in love
Ooh ooh

Dancin on the hood in the middle of the woods
On an old Mustang where we sang
Songs with all our childhood friends
Oh now


Oops I got 99 problems singin bye bye bye
Hold up if you wanna go and take a ride with me
Better hit me baby one more time
Paint a picture for you and me
On the days when we were young
Singin at the top of both our lungs
On the day we fell in love


Ooh ooh
On the day we fell in love
Ooh ooh
On the day we fell in love
Ooh ooh
On the day we fell in love
Ooh ooh
On the day we fell in love love love71",pop
Emmure,(F)Inally (U)Nderstanding (N)Othing,"Ladies gentlemen and boys


Here we go once again
Its time to get dumb with the realness


Alwaystheyhave hated
They havedoubted they have given up onme
So Im asking if youre out there
Anyone thats listening
Its ourtimeitsour place
What welove is whatwe know
If youre still with me after all these years


Here we go once again
Its time to get dumb with the realness


Talking shit but youre checking out
The same old shit
Talking shit but youre checking out
You go hard but not like this

Here we go once again
Its time to get dumb with the realness oh


Bitch I get stupid
Bitch I get stupid
Kill that shit


Finally understanding nothing",metal
Ronnie Milsap,(There's) No Gettin' Over Me,"Well you can walk out on me tonight
If you think that it aint feeling right
But darling there aint no getting over me


Well you can say that you need to be free
But there aint no place that I wont be
Sweet darling there aint no getting over me


Ill be the bill you forgot to pay
Ill be the dream that keeps you awake
Ill be the song on the radio
Ill be the reason that you tell the boys no
Dont you know


You can tell everyone that were through
And you might even believe it too
But darling there aint no getting over me
Sweet darling there aint no getting over me




Ill be the face that you see in the crowd
Ill be the times that you cry out loud
Ill be the smile when theres no one around
Ill be the book that you just cant put down

So you can walk out on me tonight
If you think that it aint feeling right
But darling there aint no getting over me
Youll see sweet darling there aint no getting over me


No no no no
No darling there aint no getting over me
Ooooh mmmm
Mmmm no darling there aint no getting over me
Ooooh darling there aint no getting over me1",Country
Desmond Dekker & The Aces,007 (Shanty Town),"007 007
At ocean eleven
And now rudeboys a go wail
Cause them out of jail
Rudeboys cannot fail
Cause them must get bail


Dem a loot dem a shoot dem a wail A Shanty Town
Dem a loot dem a shoot dem a wail A Shanty Town
Dem rude boys deh pon probation A Shanty Town
Them a rude boy a bomb up the town A Shanty Town


007 007
At ocean eleven
And now rudeboys a go wail
Cause them out of jail
Rudeboys cannot fail
Cause them must get bail


Dem a loot dem a shoot dem a wail A Shanty Town
Dem a loot dem a shoot dem a wail A Shanty Town
Dem rude boys deh pon probation A Shanty Town
Them a rude boy a bomb up the town A Shanty Town

Police get taller A Shanty Town
Soldier get longer A Shanty Town
Rudeboy a weep and a wail A Shanty Town
Rude boys a weep and a wail A Shanty Town5",reggae
JID,151 Rum,"Act one scene four


Yeah run Ricky run run nigga run jump nigga jump
Come here they come run run run run
Gun with the drum bum bitty bum slump in the trunk
My city go dumb dumb dumb dumb
151 rum and a blunt
Young nigga numb numb numb and he got a little gun
A little bitty killer really doin it for fun
Give him a little bit and hell get a nigga done


Son of a god son of a bitch
Son of woman and man son of a son in a sunken abyss
Summon a plan please come with a script
Cover my back cover man please come with the blitz
Look at the stats JID like a magician
Fuck that this some real ass shit I paid blood for this
Taking cheese from the government
Cereal boxes with the bugs in it
Hand me down this my brother brothers shit
Dont compare me to no other other niggas
In the city boy they say they fucking with you
Heebie jeebie thats a bit disgusting but I get it
Im full of tension full of spirit but full of shit
Standing next to Lil Tay when that bullet hit him
Shit I miss him I wish that that bullet missed him but it didnt
And since I been living with it like a sickness
Intimate infinite rhymes give me the baton
A ticking ticking time bomb takin the finish line
Look alive look in my eyes look at you niggas tryin
And ya dumb dumb better run run cause we fryin em
Eastside where ya from from niggas wildin
So be silent before my niggas creep silent
With street knowledge complete nonsense
Delete comments online all lies we see violence
Every day in my eyes they killing my niggas die nigga die
Pull up with the fye get em nigga its eye for an eye
If we gotta ride fuck it nigga ride for the ride of ya life
Diabolical minds I dont mind it I like it I like it I love it
I fuck with you you a thug Ima thug with you
We can knuck we can buck if a nigga fuck with you
I got love for you out the mud with you off the muscle

Yeah run Ricky run run nigga run jump nigga jump
Come here they come run run run run
Gun with the drum bum bitty bum slump in the trunk
My city go dumb dumb dumb dumb
151 rum and a blunt
Young nigga numb numb numb and he got a little gun
A little bitty killer really doin it for fun
Give him a little bit and hell get a nigga102",hiphop
Logic,1-800-273-8255,"Ive been on the low I been taking my time
I feel like Im out of my mind
It feel like my life aint mine Who can relate Woo
Ive been on the low I been taking my time
I feel like Im out of my mind
It feel like my life aint mine


I dont wanna be alive I dont wanna be alive
I just wanna die today I just wanna die
I dont wanna be alive I dont wanna be alive
I just wanna die
And let me tell you why


All this other shit Im talkin bout they think they know it
Ive been praying for somebody to save me no ones heroic
And my life dont even matter I know it I know it
I know Im hurting deep down but cant show it
I never had a place to call my own
I never had a home aint nobody callin my phone
Where you been Where you at Whats on your mind
They say every life precious but nobody care about mine


Ive been on the low I been taking my time
I feel like Im out of my mind
It feel like my life aint mine Who can relate Woo
Ive been on the low I been taking my time
I feel like Im out of my mind
It feel like my life aint mine

I want you to be alive I want you to be alive
You dont gotta die today you dont gotta die
I want you to be alive I want you to be alive
You dont gotta die now let me tell you why

Its the very first breath when your heads been drowning underwater
And its the lightness in the air when youre there chesttochest with a lover
Its holding on though the roads long seeing light in the darkest things
And when you stare at your reflection finally knowing who it is
I know that youll thank God you did


I know where you been where you are where you goin
I know youre the reason I believe in life
Whats the day without a little night
Im just tryna shed a little light
It can be hard
It can be so hard
But you gotta live right now
You got everything to give right now


Ive been on the low I been taking my time
I feel like Im out of my mind
It feel like my life aint mine Who can relate Woo
Ive been on the low I been taking my time
I feel like Im out of my mind
It feel like my life aint mine

I finally wanna be alive I finally wanna be alive
I dont wanna die today I dont wanna die
I finally wanna be alive I finally wanna be alive
I dont wanna die I dont wanna die


Pain dont hurt the same I know
The lane I travel feels alone
But Im moving til my legs give out
And I see my tears melt in the snow
But I dont wanna cry I dont wanna cry anymore
I wanna feel alive I dont even wanna die anymore
Oh I dont wanna
I dont wanna
I dont even wanna die anymore826",hiphop
Toots & The Maytals,54-46 Was My Number,"Stick it up mister
Can you hear what Im saying now yeah
Get your hands in the air sir
And you will get no hurt mister no no no
I said yeah I said yeah
Listen what they say listen what they say
Can you hear me say yeah yeah yeah
Listen what they say listen what they say
Do you believe I would take such a thing with me
And give it to a police man
I wouldnt do that oh no ooh ooh
I wouldnt do that ooh ooh
And if I do that I would say Sir
Come on and put the charge on me
I wouldnt do that ooh ooh
I wouldnt do that ooh ooh
Im not a fool to hurt myself
So I was innocent of what they done to me
They were wrong ooh ooh oh yeah
They were wrong ooh ooh

You give it to me one time huh
You give it to me two times huhhuh
You give it to me three times huhhuhhuh
You give it to me four times huhhuhhuhhuh
5446 was my number was my number man
Right now someone else has that number
5446 was my number well
Right now someone else has that number

And I said yeah I said yeah
Listen what they say listen what they say
Can you hear me say yeah yeah yeah
Listen what they say listen what they say
Oh work could not control me now
Oh no bars could not hold me now
They hold I down and they locka you way
They try to keep I for a year and a day
But through the powers of the Most High God
Got to turn me lose I say

5446 was my number was my number man
Right now someone else has that number well
5446 was my number was my number man
Right now someone else has that number hey3",reggae
Manuel de Falla,7 Canciones populares españolas - Arranged by Mischa Maisky: No. 5: Nana,-1,classical
